module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs
pov,0-session,Session Start,ST,10,pov/workflows/session/start/workflow.yaml,pov_session_start,false,parzival,Create Mode;Validate Mode;Edit Mode,Load context and present status,pov_output_folder,status report
pov,0-session,Quick Status,SU,20,pov/workflows/session/status/workflow.yaml,pov_session_status,false,parzival,Create Mode;Validate Mode;Edit Mode,Check current project state,pov_output_folder,status summary
pov,0-session,Blocker Analysis,BL,30,pov/workflows/session/blocker/workflow.yaml,pov_session_blocker,false,parzival,Create Mode;Validate Mode;Edit Mode,Analyze and resolve blockers,pov_output_folder,blocker resolution
pov,0-session,Decision Support,DC,40,pov/workflows/session/decision/workflow.yaml,pov_session_decision,false,parzival,Create Mode;Validate Mode;Edit Mode,Structure a decision with options,pov_output_folder,decision record
pov,0-session,Verification,VE,50,pov/workflows/session/verify/workflow.yaml,pov_session_verify,false,parzival,Create Mode;Validate Mode;Edit Mode,Run verification protocol,pov_output_folder,verification report
pov,0-session,Handoff,HO,60,pov/workflows/session/handoff/workflow.yaml,pov_session_handoff,false,parzival,Create Mode;Validate Mode;Edit Mode,Create mid-session state snapshot,pov_output_folder,handoff document
pov,0-session,Session Close,CL,70,pov/workflows/session/close/workflow.yaml,pov_session_close,false,parzival,Create Mode;Validate Mode;Edit Mode,Full closeout with handoff creation,pov_output_folder,session handoff
pov,1-init,Init New Project,IN,10,pov/workflows/init/new/workflow.yaml,pov_init_new,false,parzival,Create Mode;Validate Mode;Edit Mode,Establish project baseline from scratch,pov_output_folder,project-status.md
pov,1-init,Init Existing Project,IE,20,pov/workflows/init/existing/workflow.yaml,pov_init_existing,false,parzival,Create Mode;Validate Mode;Edit Mode,Onboard existing project with audit,pov_output_folder,project-status.md
pov,2-phases,Discovery,PD,10,pov/workflows/phases/discovery/workflow.yaml,pov_phase_discovery,false,parzival,Create Mode;Validate Mode;Edit Mode,Produce approved PRD with user sign-off,pov_output_folder,PRD.md
pov,2-phases,Architecture,PA,20,pov/workflows/phases/architecture/workflow.yaml,pov_phase_architecture,false,parzival,Create Mode;Validate Mode;Edit Mode,Produce approved architecture and epics,pov_output_folder,architecture.md
pov,2-phases,Planning,PP,30,pov/workflows/phases/planning/workflow.yaml,pov_phase_planning,false,parzival,Create Mode;Validate Mode;Edit Mode,Initialize sprint with story files,pov_output_folder,sprint-status.yaml
pov,2-phases,Execution,PE,40,pov/workflows/phases/execution/workflow.yaml,pov_phase_execution,false,parzival,Create Mode;Validate Mode;Edit Mode,Complete assigned task to zero issues,pov_output_folder,completed task
pov,2-phases,Integration,PI,50,pov/workflows/phases/integration/workflow.yaml,pov_phase_integration,false,parzival,Create Mode;Validate Mode;Edit Mode,Full test plan pass and cohesion check,pov_output_folder,integration report
pov,2-phases,Release,PR,60,pov/workflows/phases/release/workflow.yaml,pov_phase_release,false,parzival,Create Mode;Validate Mode;Edit Mode,Changelog and rollback plan with sign-off,pov_output_folder,release artifacts
pov,2-phases,Maintenance,PM,70,pov/workflows/phases/maintenance/workflow.yaml,pov_phase_maintenance,false,parzival,Create Mode;Validate Mode;Edit Mode,Resolve reported issue to zero issues,pov_output_folder,fix artifacts
pov,3-cycles,Agent Dispatch,DA,10,pov/workflows/cycles/agent-dispatch/workflow.yaml,pov_cycle_agent_dispatch,false,parzival,Create Mode;Validate Mode;Edit Mode,Dispatch and manage agent lifecycle,pov_output_folder,agent output
pov,3-cycles,Approval Gate,AG,20,pov/workflows/cycles/approval-gate/workflow.yaml,pov_cycle_approval_gate,false,parzival,Create Mode;Validate Mode;Edit Mode,User approval protocol with sign-off,pov_output_folder,approval record
pov,3-cycles,Review Cycle,RC,30,pov/workflows/cycles/review-cycle/workflow.yaml,pov_cycle_review_cycle,false,parzival,Create Mode;Validate Mode;Edit Mode,Dev-review loop until zero issues,pov_output_folder,review report
pov,3-cycles,Legitimacy Check,LC,40,pov/workflows/cycles/legitimacy-check/workflow.yaml,pov_cycle_legitimacy_check,false,parzival,Create Mode;Validate Mode;Edit Mode,Issue triage and classification,pov_output_folder,classification
pov,3-cycles,Research Protocol,RP,50,pov/workflows/cycles/research-protocol/workflow.yaml,pov_cycle_research_protocol,false,parzival,Create Mode;Validate Mode;Edit Mode,Verified research when uncertain,pov_output_folder,research answer
